sample_rel,ch,fnum,block,mask,midi,freq
3255331,4,645,0,15,24.014,32.73
3255557,5,1625,2,15,64.011,329.83
3255595,6,1290,2,15,60.014,261.84
3260415,1,1290,2,15,60.014,261.84
3260451,2,1534,0,15,39.013,77.84
3260746,5,1625,2,15,64.011,329.83
3260782,6,1290,2,15,60.014,261.84
3265613,1,1290,1,15,48.014,130.92
3265649,2,1367,0,15,37.018,69.37
3265690,3,683,0,15,25.005,34.66
3265750,4,1290,0,15,36.014,65.46
3265944,5,1625,2,15,64.011,329.83
3265981,6,1290,2,15,60.014,261.84
3270811,1,1290,2,15,60.014,261.84
3270848,2,1367,0,15,37.018,69.37
3271142,5,1625,2,15,64.011,329.83
3271179,6,1290,2,15,60.014,261.84
3276010,1,1290,1,15,48.014,130.92
3276046,2,1825,0,15,42.02,92.61
3276087,3,912,0,15,30.011,46.28
3276150,4,645,0,15,24.014,32.73
3276341,5,1625,2,15,64.011,329.83
3276377,6,1290,2,15,60.014,261.84
3281208,1,1290,1,15,48.014,130.92
3281244,2,1825,0,15,42.02,92.61
3281539,5,1625,2,15,64.011,329.83
3281576,6,1290,2,15,60.014,261.84
3286406,1,1290,2,15,60.014,261.84
3286442,2,1290,0,15,36.014,65.46
3286494,3,645,0,15,24.014,32.73
3286557,4,1290,0,15,36.014,65.46
3286737,5,1625,2,15,64.011,329.83
3286774,6,1290,2,15,60.014,261.84
3291605,1,1290,1,15,48.014,130.92
3291647,2,1290,0,15,36.014,65.46
3291936,5,1625,2,15,64.011,329.83
3291972,6,1290,2,15,60.014,261.84
3296817,1,1290,2,15,60.014,261.84
3296854,2,1722,0,15,41.015,87.38
3296895,3,861,0,15,29.015,43.69
3296958,4,645,0,15,24.014,32.73
3297134,5,1625,2,15,64.011,329.83
3297170,6,1290,2,15,60.014,261.84
3301985,1,1290,2,15,60.014,261.84
3302021,2,1722,0,15,41.015,87.38
3302332,5,1625,2,15,64.011,329.83
3302369,6,1290,2,15,60.014,261.84
3307200,1,1290,1,15,48.014,130.92
3307236,2,1534,0,15,39.013,77.84
3307278,3,767,0,15,27.013,38.92
3307337,4,1290,0,15,36.014,65.46
3307531,5,1625,2,15,64.011,329.83
3307567,6,1290,2,15,60.014,261.84
3312398,1,1290,2,15,60.014,261.84
3312434,2,1534,0,15,39.013,77.84
3312729,5,1625,2,15,64.011,329.83
3312766,6,1290,2,15,60.014,261.84
3317596,1,1290,1,15,48.014,130.92
3317632,2,1625,0,15,40.011,82.46
3317674,3,812,0,15,28.0,41.2
3317736,4,645,0,15,24.014,32.73
3317927,5,1625,2,15,64.011,329.83
3322794,1,1290,1,15,48.014,130.92
3322831,2,1625,0,15,40.011,82.46
3323126,5,1625,2,15,64.011,329.83
3323162,6,1290,2,15,60.014,261.84
3327967,1,1290,2,15,60.014,261.84
3328003,2,1448,0,15,38.014,73.48
3328045,3,724,0,15,26.014,36.74
3328104,4,1290,0,15,36.014,65.46
3328324,5,1625,2,15,64.011,329.83
3328361,6,1290,2,15,60.014,261.84
3333191,1,1290,2,15,60.014,261.84
3333227,2,1448,0,15,38.014,73.48
3333522,5,1625,2,15,64.011,329.83
3333559,6,1290,2,15,60.014,261.84
3338364,1,1290,2,15,60.014,261.84
3338400,2,1534,0,15,39.013,77.84
3338441,3,767,0,15,27.013,38.92
3338504,4,645,0,15,24.014,32.73
3338720,5,1625,2,15,64.011,329.83
3338757,6,1290,2,15,60.014,261.84
3343588,1,1290,2,15,60.014,261.84
3343624,2,1534,0,15,39.013,77.84
3343919,5,1625,2,15,64.011,329.83
3343965,6,1290,2,15,60.014,261.84
3348786,1,1290,1,15,48.014,130.92
3348823,2,1367,0,15,37.018,69.37
3348864,3,683,0,15,25.005,34.66
3348923,4,1290,0,15,36.014,65.46
3349127,5,1625,2,15,64.011,329.83
3349165,6,1290,2,15,60.014,261.84
3353984,1,1290,2,15,60.014,261.84
3354021,2,1367,0,15,37.018,69.37
3354317,5,1625,2,15,64.011,329.83
3354353,6,1290,2,15,60.014,261.84
3359183,1,1290,2,15,60.014,261.84
3359219,2,1825,0,15,42.02,92.61
3359260,3,912,0,15,30.011,46.28
3359323,4,645,0,15,24.014,32.73
3359514,5,1625,2,15,64.011,329.83
3359551,6,1290,2,15,60.014,261.84
3364381,1,1290,1,15,48.014,130.92
3364417,2,1825,0,15,42.02,92.61
3364712,5,1625,2,15,64.011,329.83
3364749,6,1290,2,15,60.014,261.84
3369583,1,645,0,15,24.014,32.73
3369642,2,1290,0,15,36.014,65.46
3369700,3,1290,2,15,60.014,261.84
3369774,4,287,0,15,9.995,14.56
3369935,5,287,0,15,9.995,14.56
3369992,6,287,0,15,9.995,14.56
3374801,3,1290,2,15,60.014,261.84
3379954,1,861,0,15,29.015,43.69
3380016,2,645,0,15,24.014,32.73
3380050,3,1290,2,15,60.014,261.84
3385203,3,1290,2,15,60.014,261.84
3390351,1,767,0,15,27.013,38.92
3390421,2,1290,0,15,36.014,65.46
3390453,3,1290,2,15,60.014,261.84
3395602,3,1290,2,15,60.014,261.84
3400748,1,812,0,15,28.0,41.2
3400809,2,645,0,15,24.014,32.73
3400841,3,1290,2,15,60.014,261.84
3405994,3,1290,2,15,60.014,261.84
3411144,1,724,0,15,26.014,36.74
